102,77
936,51
23,32
438,71
701,61
266,54
581,40
999,71
825,99
699,20
179,19
366,82
295,100
335,99
133,43
534,86
298,64
227,6
940,38
150,75
790,35
225,70
651,37
837,21
90,70
216,82
5,70
883,19
127,45
80,41
136,10
179,13
492,43
321,50
354,97
476,21
171,99
197,14
75,91
967,78
28,74
186,59
69,100
455,84
130,52
625,90
112,31
989,62
692,58
478,81
120,60
47,42
427,50
313,10
581,85
105,82
226,97
448,52
265,82
567,79
286,4
942,30
471,45
974,85
200,60
590,40
752,33
376,16
922,28
544,2
211,42
638,4
587,56
525,82
225,74
545,89
905,59
270,1
14,7
341,21
286,87
272,69
63,82
125,6
201,51
144,1
553,73
648,10
495,84
106,15
843,16
836,38
187,84
495,44
244,52
729,83
670,17
666,71
185,12
512,63
512,14
934,97
740,31
909,88
917,2
181,98
214,2
631,64
537,73
674,62
764,80
520,64
414,44
930,11
11,43
587,21
152,63
804,93
17,62
527,31
396,30
149,33
726,67
173,80
511,43
223,60
371,15
476,50
466,68
145,66
955,88
476,65
280,42
875,95
414,21
9,49
704,38
127,32
735,84
598,26
612,87
716,57
798,74
325,36
540,90
80,71
731,80
219,41
747,66
299,37
336,14
395,84
506,7
293,30
625,77
673,12
437,43
642,79
139,10
785,88
185,92
409,45
70,88
374,71
799,19
574,70
788,9
963,69
958,37
635,59
880,100
815,21
187,9
756,13
767,91
880,55
379,31
551,37
977,5
155,59
635,65
291,1
368,10
196,37
575,24
223,68
207,55
283,91
531,57
808,64
539,72
867,16
269,35
51,40
516,86
815,96
159,45
324,79
581,51
911,59
834,95
150,95
576,65
347,61
518,78
960,31
476,20
667,64
554,37
21,85
789,78
388,77
418,40
750,61
650,58
673,98
596,26
485,10
942,13
362,14
322,6
717,94
955,45
137,60
772,56
300,71
546,62
524,3
659,61
603,53
619,69
458,39
503,64
16,28
468,21
170,11
272,26
64,81
879,73
802,5
729,76
111,74
315,35
713,41
889,59
370,35
225,90
188,62
974,70
535,21
