118,54
960,70
713,22
921,9
590,18
981,69
269,63
917,48
78,46
208,19
826,51
784,15
783,83
292,3
929,45
740,13
798,12
955,33
290,74
179,80
930,9
437,77
34,37
9,2
824,38
583,88
953,42
166,69
334,12
478,90
496,93
936,48
71,29
466,47
656,63
459,49
414,30
223,42
560,68
294,25
253,52
547,77
775,15
419,36
715,9
559,89
104,92
303,9
629,62
487,81
908,41
281,76
389,29
667,50
107,43
109,60
552,64
171,32
285,84
176,60
60,97
624,63
132,14
793,97
848,74
83,99
403,28
919,53
879,23
519,21
41,41
284,4
805,12
458,71
319,67
761,80
25,64
979,35
749,56
695,68
818,39
768,89
481,18
579,82
519,27
674,92
213,35
886,50
984,31
864,94
285,57
948,15
18,96
463,24
398,56
6,61
40,66
596,46
960,77
500,39
131,81
573,24
220,49
397,4
723,2
815,54
737,98
382,42
433,80
124,63
84,9
160,15
465,78
275,31
612,36
522,96
324,19
763,2
708,92
645,53
527,15
106,82
893,5
639,93
531,42
162,78
866,40
968,99
283,13
263,89
533,11
206,70
597,42
819,23
881,22
481,61
282,12
778,38
392,4
891,92
141,17
56,40
730,24
992,71
999,88
715,54
107,82
520,99
772,90
133,33
